azimuth_deg,torque_Nm
1.000000,2.000000
1445.000000,191812.000000
1450.000000,109817.000000
1455.000000,73467.900000
1460.000000,55443.200000
1465.000000,311324.000000
1470.000000,346304.000000
1475.000000,360546.000000
1480.000000,377392.000000
1485.000000,411223.000000
1490.000000,479093.000000
1495.000000,570523.000000
1500.000000,685568.000000
1505.000000,824249.000000
1510.000000,994501.000000
1515.000000,1092740.000000
1520.000000,1613690.000000
1525.000000,1782480.000000
1530.000000,1039960.000000
1535.000000,990756.000000
1540.000000,637937.000000
1545.000000,594996.000000
1550.000000,384056.000000
1555.000000,496150.000000
1560.000000,228899.000000
1565.000000,130054.000000
1570.000000,67688.900000
1575.000000,13248.700000
1580.000000,257154.000000
1585.000000,278477.000000
1590.000000,293375.000000
1595.000000,329250.000000
1600.000000,396204.000000
1605.000000,497438.000000
1610.000000,632712.000000
1615.000000,811491.000000
1620.000000,1189690.000000
1625.000000,1575300.000000
1630.000000,1051190.000000
1635.000000,812556.000000
1640.000000,846096.000000
1645.000000,609548.000000
1650.000000,899663.000000
1655.000000,482628.000000
1660.000000,409615.000000
1665.000000,317911.000000
1670.000000,362658.000000
1675.000000,158306.000000
1680.000000,82251.100000
1685.000000,62619.400000
1690.000000,57056.000000
1695.000000,86983.400000
1700.000000,153127.000000
1705.000000,251600.000000
1710.000000,388889.000000
1715.000000,741128.000000
1720.000000,1727930.000000
1725.000000,1986150.000000
1730.000000,2251370.000000
1735.000000,906458.000000
1740.000000,824088.000000
1745.000000,752847.000000
1750.000000,736747.000000
1755.000000,936016.000000
1760.000000,960716.000000
1765.000000,973943.000000
1770.000000,696600.000000
1775.000000,656626.000000
1780.000000,653690.000000
1785.000000,572433.000000
1790.000000,498672.000000
1795.000000,414143.000000
1800.000000,305277.000000
